"";"Gen_1";"Gen_2";"Gen_3";"Gen_4";"Gen_5";"Gen_6";"Gen_7";"Gen_8";"Gen_9";"Gen_10";"Gen_11";"Gen_12";"Gen_13";"Gen_14";"Gen_15";"Gen_16";"Gen_17";"Gen_18";"Gen_19";"Gen_20";"Gen_21";"Gen_22";"Gen_23";"Gen_24";"Gen_25";"Gen_26";"Gen_27";"Gen_28";"Gen_29";"Gen_30";"Gen_31";"Gen_32";"Gen_33";"Gen_34";"Gen_35";"Gen_36";"Gen_37";"Gen_38";"Gen_39";"Gen_40";"Gen_41";"Gen_42";"Gen_43";"Gen_44";"Gen_45";"Gen_46";"Gen_47";"Gen_48";"Gen_49";"Gen_50"
"mostra1";3,64;6,66;45,68;44,66;9,3;53,37;0;17,05;8,73;4,73;4,15;15,03;25,74;50,64;33,95;8;40,05;27,62;0,39;8;6,58;0,93;50,49;12,93;11,13;28,56;7,57;2,39;13,39;51,67;42,6;48,44;54,03;23,11;4,54;41,09;42,88;49,13;39,91;55,79;32,8;51,4;54,35;81,17;50,32;66,43;65,04;0;39,56;0
"mostra2";33,92;32,71;46,07;41,41;40,38;60,87;0;1,09;42,02;16,35;1,83;15,24;77,99;48,87;12,69;5;38,98;26,24;65,14;12,44;22,97;18,4;3,19;12,94;15,63;20,76;6,34;90,98;31,44;44,7;57,89;57,92;63,66;24,77;22,76;58,33;82,62;53,45;47,24;17,07;25,71;49,26;7,39;3,8;4,94;6,33;76,17;0;18,87;0
"mostra3";32,42;24,54;52,47;45,32;39,05;59,69;0;11,08;2,49;32,03;22,37;6,66;4,8;53,35;54,82;12,41;40,57;17,02;97,36;2,39;12,63;5,12;31,89;7,12;9,87;0,72;16,04;27,79;29,54;54,85;45,22;50,11;69,31;69,23;6,19;1,83;10,35;52,07;45,11;9,77;1,66;59,96;2,61;54,09;11,01;8,32;67,47;0;11,51;0
"mostra4";48,96;13,66;49,22;37,49;26,15;64,29;0;0,9;24,88;10,73;68,94;44,67;2,26;52,69;5,39;18,6;30,2;17,67;46,47;3,14;25,76;1,91;16,29;12,19;39,99;0,71;16,21;0,5;131,33;39,63;45,4;54,52;62,44;1,72;6,11;0,33;0,04;42,85;48,07;1,79;1,73;44,56;3,61;16,41;8,38;1,56;66,19;0;53,55;0
"mostra5";17,58;12,05;53,13;42,03;4,33;66,54;0;2,18;81,63;41,55;35,28;19,56;18,14;49,72;15,41;45,35;43,3;31,19;23,72;7,8;15,3;2,93;15,84;4,87;6,4;14,31;16,2;12,95;30,83;47,35;40,01;52,33;55,33;15,35;100,75;1,84;4,42;43,5;47,05;4,53;33,5;54,29;64,36;19,94;34,89;80,58;73,52;0;53,29;0
"mostra6";53,35;22,91;45,31;43,28;20,58;60,88;0;36,64;26,99;0,85;12,88;28,81;28,33;52,51;7,46;0,36;38,67;23,08;38,23;15,54;8,52;0,71;63,57;5,06;12,15;18,36;0,38;5,62;1,15;45,02;48,64;50,8;47,62;3,81;6,41;33,57;2,43;57,02;44,21;3,5;2,88;48,97;21,69;29,59;21,06;26,64;79,26;0;67,03;0
"mostra7";77,72;1,54;49,85;42,86;13,95;60,22;0;24,6;7,51;23,05;24,92;8,24;32,75;46,8;0,27;4,1;41,92;34,83;20,6;31,94;86,07;20,15;13,38;1,31;3,4;15;36,79;0,46;46,99;40,57;48,42;55,17;50,23;6,97;9,07;4,58;14,7;48,9;43,09;24,5;3,24;55,45;27,41;4,24;50,6;22,85;60,95;0;29,67;0
"mostra8";19,27;53,6;51,1;46,41;47,85;51,4;0;13,27;14,72;12,85;2,56;8,97;22,64;59,01;20,4;8,45;40,45;15,01;9,25;13,04;6,88;3,51;32,05;28,58;26,59;4,9;12,64;23,85;35,18;39,7;46,86;56,89;56,38;0,09;18,47;76,32;34,72;60,66;40,82;1,95;2,1;53,81;13,51;16,19;14,59;7,04;76,67;0;42,25;0
"mostra9";13,65;30,96;50,67;41,14;36,46;54,7;0;31,83;17,84;21;73,22;39,46;7,35;54,99;34,55;1,29;46,96;23,62;16,45;27,52;24,99;13,42;2,72;2,95;14;15,66;5,98;6,24;25,93;46,63;49,47;48,82;50,69;0,57;3,94;1,67;27,36;40,83;41,17;34,21;5;42,97;24,89;18,25;8,24;22,35;64,43;0;7,46;0
"mostra10";0,67;9,62;54,23;42,35;41,36;63,35;0;28,21;3,07;22,63;14,92;23,79;7,56;54,39;39,16;28,87;38,62;28;15,29;9,93;45,77;16,67;0,25;0,21;29,16;8,28;26,82;1,34;9,9;40,52;52,14;60,03;45,18;1,25;75,65;2,01;6,21;49,45;45,81;6,73;4,07;49,72;19,89;0,78;23,61;26,85;78,68;0;16,18;0
